Days	G0	G25	G50	G75	G100
387	7.473	8.389	9.107	9.901	11.195
388	7.479	8.396	9.114	9.909	11.204
389	7.485	8.403	9.122	9.917	11.213
390	7.491	8.409	9.129	9.925	11.223
391	7.497	8.416	9.136	9.932	11.232
392	7.503	8.423	9.143	9.94	11.241
393	7.509	8.429	9.151	9.948	11.25
394	7.515	8.436	9.158	9.956	11.259
395	7.52	8.442	9.165	9.964	11.268
396	7.526	8.449	9.172	9.972	11.277
397	7.532	8.456	9.179	9.98	11.286
398	7.538	8.462	9.187	9.988	11.295
399	7.544	8.469	9.194	9.996	11.304
400	7.55	8.475	9.201	10.003	11.313
401	7.556	8.482	9.208	10.011	11.322
402	7.562	8.489	9.215	10.019	11.331
403	7.568	8.495	9.223	10.027	11.34
404	7.574	8.502	9.23	10.035	11.349
405	7.58	8.509	9.237	10.043	11.358
406	7.585	8.515	9.244	10.05	11.367
407	7.591	8.522	9.251	10.058	11.376
408	7.597	8.528	9.258	10.066	11.385
409	7.603	8.535	9.265	10.074	11.394
410	7.609	8.541	9.273	10.082	11.403
411	7.615	8.548	9.28	10.089	11.412
412	7.621	8.554	9.287	10.097	11.42
413	7.626	8.561	9.294	10.105	11.43
414	7.632	8.568	9.301	10.113	11.438
415	7.638	8.574	9.308	10.12	11.447
416	7.644	8.581	9.315	10.128	11.456
417	7.65	8.587	9.322	10.136	11.465
418	7.656	8.594	9.329	10.144	11.474
419	7.662	8.6	9.337	10.152	11.483
420	7.667	8.607	9.344	10.159	11.492
421	7.673	8.613	9.351	10.167	11.501
422	7.679	8.62	9.358	10.175	11.509
423	7.685	8.626	9.365	10.183	11.518
424	7.691	8.633	9.372	10.19	11.527
425	7.697	8.639	9.379	10.198	11.536
426	7.702	8.646	9.386	10.206	11.545
427	7.708	8.652	9.393	10.213	11.554
428	7.714	8.659	9.4	10.221	11.563
429	7.72	8.665	9.407	10.229	11.571
430	7.726	8.672	9.414	10.237	11.58
431	7.732	8.678	9.421	10.244	11.589
432	7.737	8.685	9.429	10.252	11.598
433	7.743	8.691	9.436	10.26	11.607
434	7.749	8.698	9.443	10.267	11.615
435	7.755	8.704	9.45	10.275	11.624
436	7.761	8.711	9.457	10.283	11.633
437	7.766	8.717	9.464	10.29	11.642
438	7.772	8.724	9.471	10.298	11.651
439	7.778	8.73	9.478	10.306	11.659
440	7.784	8.737	9.485	10.313	11.668
441	7.79	8.743	9.492	10.321	11.677
442	7.795	8.75	9.499	10.329	11.686
443	7.801	8.756	9.506	10.336	11.694
444	7.807	8.763	9.513	10.344	11.703
445	7.813	8.769	9.52	10.352	11.712
446	7.819	8.776	9.527	10.359	11.721
447	7.824	8.782	9.534	10.367	11.73
448	7.83	8.788	9.541	10.375	11.738
449	7.836	8.795	9.548	10.382	11.747
450	7.842	8.801	9.555	10.39	11.756
451	7.847	8.808	9.562	10.398	11.765
452	7.853	8.814	9.569	10.405	11.773
453	7.859	8.821	9.576	10.413	11.782
454	7.865	8.827	9.583	10.42	11.791
455	7.87	8.834	9.59	10.428	11.799
456	7.876	8.84	9.597	10.436	11.808
457	7.882	8.846	9.604	10.443	11.817
458	7.888	8.853	9.611	10.451	11.825
459	7.894	8.859	9.618	10.458	11.834
460	7.899	8.866	9.625	10.466	11.843
461	7.905	8.872	9.632	10.474	11.851
462	7.911	8.879	9.639	10.481	11.86
463	7.917	8.885	9.646	10.489	11.869
464	7.922	8.891	9.653	10.496	11.877
465	7.928	8.898	9.66	10.504	11.886
466	7.934	8.904	9.667	10.512	11.895
467	7.94	8.911	9.674	10.519	11.904
468	7.945	8.917	9.681	10.527	11.912
469	7.951	8.923	9.687	10.534	11.921
470	7.957	8.93	9.694	10.542	11.93
471	7.963	8.936	9.701	10.549	11.938
472	7.968	8.943	9.708	10.557	11.947
473	7.974	8.949	9.715	10.565	11.955
474	7.98	8.956	9.722	10.572	11.964
475	7.985	8.962	9.729	10.58	11.973
476	7.991	8.968	9.736	10.587	11.982
477	7.997	8.975	9.743	10.595	11.99
478	8.003	8.981	9.75	10.603	11.999
479	8.008	8.987	9.757	10.61	12.007
480	8.014	8.994	9.764	10.618	12.016
481	8.02	9	9.771	10.625	12.025
482	8.026	9.007	9.778	10.633	12.033
483	8.031	9.013	9.785	10.64	12.042
484	8.037	9.019	9.792	10.648	12.051
485	8.043	9.026	9.799	10.655	12.059
486	8.048	9.032	9.805	10.663	12.068
487	8.054	9.039	9.812	10.671	12.077
488	8.06	9.045	9.819	10.678	12.085
489	8.066	9.051	9.826	10.686	12.094
490	8.071	9.058	9.833	10.693	12.102
491	8.077	9.064	9.84	10.701	12.111
492	8.083	9.071	9.847	10.708	12.12
493	8.089	9.077	9.854	10.716	12.128
494	8.094	9.083	9.861	10.723	12.137
495	8.1	9.09	9.868	10.731	12.145
496	8.106	9.096	9.875	10.738	12.154
497	8.111	9.102	9.882	10.746	12.163
498	8.117	9.109	9.889	10.754	12.171
499	8.123	9.115	9.895	10.761	12.18
500	8.128	9.121	9.902	10.769	12.188
501	8.134	9.128	9.909	10.776	12.197
502	8.14	9.134	9.916	10.784	12.206
503	8.146	9.141	9.923	10.791	12.214
504	8.151	9.147	9.93	10.799	12.223
505	8.157	9.153	9.937	10.806	12.231
506	8.163	9.16	9.944	10.814	12.24
507	8.168	9.166	9.951	10.821	12.249
508	8.174	9.172	9.958	10.829	12.257
509	8.18	9.179	9.964	10.836	12.266
510	8.185	9.185	9.971	10.844	12.274
511	8.191	9.191	9.978	10.851	12.283
512	8.197	9.198	9.985	10.859	12.291
513	8.202	9.204	9.992	10.866	12.3
514	8.208	9.211	9.999	10.874	12.309
515	8.214	9.217	10.006	10.881	12.317
516	8.22	9.223	10.013	10.889	12.326
517	8.225	9.23	10.02	10.896	12.334
518	8.231	9.236	10.027	10.904	12.343
519	8.237	9.242	10.033	10.912	12.352
520	8.242	9.249	10.04	10.919	12.36
521	8.248	9.255	10.047	10.926	12.369
522	8.254	9.261	10.054	10.934	12.377
523	8.259	9.268	10.061	10.941	12.386
524	8.265	9.274	10.068	10.949	12.394
525	8.271	9.28	10.075	10.956	12.403
526	8.276	9.287	10.082	10.964	12.411
527	8.282	9.293	10.088	10.971	12.42
528	8.288	9.299	10.095	10.979	12.429
529	8.293	9.306	10.102	10.986	12.437
530	8.299	9.312	10.109	10.994	12.446
531	8.305	9.318	10.116	11.001	12.454
532	8.31	9.325	10.123	11.009	12.463
533	8.316	9.331	10.13	11.016	12.471
534	8.322	9.337	10.137	11.024	12.48
535	8.327	9.344	10.143	11.031	12.488
536	8.333	9.35	10.15	11.039	12.497
537	8.339	9.356	10.157	11.046	12.505
538	8.344	9.363	10.164	11.054	12.514
539	8.35	9.369	10.171	11.061	12.522
540	8.356	9.375	10.178	11.069	12.531
541	8.361	9.382	10.185	11.076	12.54
542	8.367	9.388	10.191	11.084	12.548
543	8.372	9.394	10.198	11.091	12.557
544	8.378	9.4	10.205	11.099	12.565
545	8.384	9.407	10.212	11.106	12.574
546	8.389	9.413	10.219	11.114	12.582
547	8.395	9.419	10.226	11.121	12.591
548	8.401	9.426	10.232	11.128	12.599
549	8.406	9.432	10.239	11.136	12.608
550	8.412	9.438	10.246	11.143	12.616
551	8.418	9.444	10.253	11.151	12.625
552	8.423	9.451	10.26	11.158	12.633
553	8.429	9.457	10.267	11.166	12.642
554	8.434	9.463	10.273	11.173	12.65
555	8.44	9.47	10.28	11.181	12.659
556	8.446	9.476	10.287	11.188	12.667
557	8.451	9.482	10.294	11.196	12.676
558	8.457	9.489	10.301	11.203	12.684
559	8.463	9.495	10.308	11.21	12.693
560	8.468	9.501	10.314	11.218	12.701
561	8.474	9.507	10.321	11.225	12.71
562	8.479	9.514	10.328	11.233	12.719
563	8.485	9.52	10.335	11.24	12.727
564	8.491	9.526	10.342	11.248	12.735
565	8.496	9.533	10.349	11.255	12.744
566	8.502	9.539	10.355	11.263	12.753
567	8.507	9.545	10.362	11.27	12.761
568	8.513	9.551	10.369	11.277	12.77
569	8.519	9.558	10.376	11.285	12.778
570	8.524	9.564	10.383	11.292	12.786
571	8.53	9.57	10.39	11.3	12.795
572	8.535	9.576	10.396	11.307	12.804
573	8.541	9.583	10.403	11.315	12.812
574	8.547	9.589	10.41	11.322	12.821
575	8.552	9.595	10.417	11.33	12.829
576	8.558	9.602	10.424	11.337	12.838
577	8.563	9.608	10.43	11.345	12.846
578	8.569	9.614	10.437	11.352	12.855
579	8.575	9.62	10.444	11.359	12.863
580	8.58	9.627	10.451	11.367	12.872
581	8.586	9.633	10.458	11.374	12.88
582	8.592	9.639	10.465	11.382	12.889
583	8.597	9.645	10.471	11.389	12.897
584	8.603	9.652	10.478	11.397	12.905
585	8.608	9.658	10.485	11.404	12.914
586	8.614	9.664	10.492	11.411	12.923
587	8.619	9.671	10.499	11.419	12.931
588	8.625	9.677	10.505	11.426	12.939
589	8.631	9.683	10.512	11.434	12.948
590	8.636	9.689	10.519	11.441	12.957
591	8.642	9.696	10.526	11.449	12.965
592	8.647	9.702	10.533	11.456	12.974
593	8.653	9.708	10.539	11.463	12.982
594	8.658	9.714	10.546	11.471	12.99
595	8.664	9.721	10.553	11.478	12.999
596	8.67	9.727	10.56	11.486	13.008
597	8.675	9.733	10.567	11.493	13.016
598	8.681	9.739	10.573	11.5	13.024
599	8.686	9.746	10.58	11.508	13.033
600	8.692	9.752	10.587	11.515	13.042
601	8.698	9.758	10.594	11.523	13.05
602	8.703	9.764	10.601	11.53	13.058
603	8.709	9.771	10.607	11.538	13.067
604	8.714	9.777	10.614	11.545	13.075
605	8.72	9.783	10.621	11.552	13.084
606	8.725	9.789	10.628	11.56	13.093
607	8.731	9.796	10.635	11.567	13.101
608	8.737	9.802	10.641	11.575	13.109
609	8.742	9.808	10.648	11.582	13.118
610	8.748	9.814	10.655	11.59	13.126
611	8.753	9.821	10.662	11.597	13.135
612	8.759	9.827	10.669	11.605	13.144
613	8.764	9.833	10.675	11.612	13.152
614	8.77	9.839	10.682	11.619	13.16
615	8.775	9.845	10.689	11.627	13.169
616	8.781	9.852	10.696	11.634	13.178
617	8.787	9.858	10.703	11.642	13.186
618	8.792	9.864	10.709	11.649	13.195
619	8.798	9.87	10.716	11.657	13.203
620	8.803	9.877	10.723	11.664	13.211
621	8.809	9.883	10.73	11.671	13.22
622	8.814	9.889	10.737	11.679	13.229
623	8.82	9.895	10.743	11.686	13.237
624	8.826	9.902	10.75	11.694	13.246
625	8.831	9.908	10.757	11.701	13.254
626	8.837	9.914	10.764	11.709	13.263
627	8.842	9.92	10.771	11.716	13.271
628	8.848	9.927	10.777	11.723	13.28
629	8.853	9.933	10.784	11.731	13.288
630	8.859	9.939	10.791	11.738	13.297
631	8.864	9.945	10.798	11.746	13.305
632	8.87	9.952	10.805	11.753	13.314
633	8.876	9.958	10.811	11.761	13.322
